sepal_length,sepal_width,petal_length,petal_width,actual_class,predicted_class
0.914951,-0.027711,1.216023,1.489476,Iris-virginica,Iris-virginica
-0.087138,-0.452600,0.191314,0.160504,Iris-versicolor,Iris-versicolor
2.418084,1.671846,1.758516,1.489476,Iris-virginica,Iris-virginica
-0.838705,0.609623,-1.255334,-1.020805,Iris-setosa,Iris-setosa
0.413906,-0.877489,1.095469,0.308167,Iris-virginica,Iris-virginica
0.789690,0.397179,0.914638,1.637140,Iris-virginica,Iris-virginica
0.789690,0.184734,1.035192,0.898822,Iris-virginica,Iris-virginica
-1.089227,-1.089933,0.432422,0.751158,Iris-virginica,Iris-versicolor
-0.838705,1.671846,-1.375888,-1.316132,Iris-setosa,Iris-setosa
-0.212399,-0.665044,0.251591,0.160504,Iris-versicolor,Iris-versicolor
1.791778,-0.027711,1.216023,0.603495,Iris-virginica,Iris-virginica
-0.337660,2.521623,-1.436165,-1.463796,Iris-setosa,Iris-setosa
-0.838705,1.459401,-1.375888,-1.168469,Iris-setosa,Iris-setosa
-0.713444,1.034512,-1.375888,-1.463796,Iris-setosa,Iris-setosa
1.415995,0.184734,0.673530,0.455831,Iris-versicolor,Iris-versicolor
0.413906,-0.240155,0.552976,0.308167,Iris-versicolor,Iris-versicolor
0.038123,-0.452600,0.794084,1.784804,Iris-virginica,Iris-virginica
-1.339749,0.397179,-1.315611,-1.463796,Iris-setosa,Iris-setosa
0.038123,-0.665044,0.794084,1.046485,Iris-virginica,Iris-virginica
-1.465010,0.397179,-1.436165,-1.463796,Iris-setosa,Iris-setosa
-0.212399,-0.452600,0.673530,1.194149,Iris-virginica,Iris-virginica
0.789690,-0.452600,1.095469,1.489476,Iris-virginica,Iris-virginica
-1.715532,0.397179,-1.496442,-1.463796,Iris-setosa,Iris-setosa
-0.963966,-2.152156,-0.170348,-0.282487,Iris-versicolor,Iris-versicolor
1.791778,0.397179,1.336577,0.898822,Iris-virginica,Iris-virginica
-0.838705,1.671846,-1.315611,-1.463796,Iris-setosa,Iris-setosa
1.165473,-1.089933,1.216023,0.898822,Iris-virginica,Iris-virginica
0.789690,-0.240155,0.311868,0.160504,Iris-versicolor,Iris-versicolor
-0.337660,-1.302377,0.010483,-0.134823,Iris-versicolor,Iris-versicolor
-0.212399,-0.027711,0.432422,0.455831,Iris-versicolor,Iris-versicolor
-0.087138,-0.240155,0.251591,0.160504,Iris-versicolor,Iris-versicolor
-1.465010,1.246956,-1.677273,-1.463796,Iris-setosa,Iris-setosa
-1.465010,0.822068,-1.436165,-1.316132,Iris-setosa,Iris-setosa
2.042301,-0.452600,1.396854,1.046485,Iris-virginica,Iris-virginica
0.288645,-1.727267,0.131037,-0.282487,Iris-versicolor,Iris-versicolor
0.413906,-0.452600,0.131037,0.160504,Iris-versicolor,Iris-versicolor
-0.963966,0.397179,-1.556719,-1.463796,Iris-setosa,Iris-setosa
-0.713444,-0.665044,0.070760,0.308167,Iris-versicolor,Iris-versicolor
-1.089227,-1.302377,-0.290902,-0.282487,Iris-versicolor,Iris-versicolor
-0.337660,-1.514822,0.131037,0.160504,Iris-versicolor,Iris-versicolor
0.038123,-0.877489,0.131037,0.012840,Iris-versicolor,Iris-versicolor
1.165473,0.184734,0.372145,0.308167,Iris-versicolor,Iris-versicolor
-0.212399,-0.240155,-0.110071,0.160504,Iris-versicolor,Iris-versicolor
0.038123,2.096735,-1.556719,-1.463796,Iris-setosa,Iris-setosa
1.040212,-0.027711,0.372145,0.308167,Iris-versicolor,Iris-versicolor
-0.212399,-0.027711,0.191314,0.160504,Iris-versicolor,Iris-versicolor
